id,degree,grnprice,grnmoney
615,associate/junior college,fairly unwilling,"no, i have not"
616,high school,very unwilling,"no, i have not"
618,associate/junior college,fairly unwilling,"no, i have not"
619,associate/junior college,fairly willing,"yes, i have"
622,less than high school,fairly unwilling,"no, i have not"
625,bachelor's,fairly unwilling,"no, i have not"
626,high school,neither willing nor unwilling,"no, i have not"
630,associate/junior college,fairly unwilling,"no, i have not"
632,high school,fairly willing,"no, i have not"
635,high school,fairly unwilling,"no, i have not"
636,graduate,neither willing nor unwilling,"no, i have not"
641,graduate,fairly willing,"yes, i have"
648,high school,very unwilling,"no, i have not"
650,high school,very unwilling,"no, i have not"
652,high school,fairly willing,"no, i have not"
653,high school,fairly unwilling,"no, i have not"
657,graduate,very unwilling,"no, i have not"
660,bachelor's,neither willing nor unwilling,"no, i have not"
661,bachelor's,neither willing nor unwilling,"no, i have not"
666,graduate,fairly willing,"yes, i have"
669,high school,fairly willing,"no, i have not"
670,high school,neither willing nor unwilling,"no, i have not"
675,associate/junior college,fairly willing,"no, i have not"
676,high school,very unwilling,"no, i have not"
678,high school,very unwilling,"no, i have not"
680,high school,fairly unwilling,"no, i have not"
682,high school,fairly unwilling,"no, i have not"
684,graduate,neither willing nor unwilling,"no, i have not"
691,associate/junior college,neither willing nor unwilling,"yes, i have"
693,bachelor's,fairly willing,"no, i have not"
694,high school,neither willing nor unwilling,"no, i have not"
697,high school,neither willing nor unwilling,"no, i have not"
700,high school,very unwilling,"no, i have not"
701,associate/junior college,neither willing nor unwilling,"no, i have not"
704,graduate,neither willing nor unwilling,"no, i have not"
705,graduate,very willing,"yes, i have"
710,high school,fairly unwilling,"no, i have not"
713,graduate,neither willing nor unwilling,"no, i have not"
714,bachelor's,neither willing nor unwilling,"no, i have not"
717,graduate,very unwilling,"no, i have not"
720,bachelor's,very willing,"yes, i have"
721,bachelor's,neither willing nor unwilling,"no, i have not"
723,graduate,very willing,"yes, i have"
724,bachelor's,fairly willing,"yes, i have"
727,bachelor's,fairly willing,"no, i have not"
729,less than high school,neither willing nor unwilling,"no, i have not"
733,bachelor's,very unwilling,"no, i have not"
734,bachelor's,fairly unwilling,"no, i have not"
735,bachelor's,fairly willing,"no, i have not"
737,high school,neither willing nor unwilling,"no, i have not"
738,high school,very willing,"no, i have not"
740,graduate,fairly willing,"yes, i have"
741,high school,neither willing nor unwilling,"no, i have not"
744,high school,fairly willing,"no, i have not"
748,associate/junior college,fairly willing,"yes, i have"
749,graduate,fairly willing,"no, i have not"
751,bachelor's,neither willing nor unwilling,"yes, i have"
752,high school,fairly unwilling,"yes, i have"
753,associate/junior college,very unwilling,"no, i have not"
755,graduate,fairly willing,"yes, i have"
756,high school,very unwilling,"no, i have not"
759,associate/junior college,fairly unwilling,"no, i have not"
761,graduate,fairly willing,"yes, i have"
764,high school,fairly willing,"yes, i have"
766,high school,very willing,"yes, i have"
