id,degree
804,3
805,3
806,0
808,1
812,2
814,1
815,3
819,1
821,4
823,1
824,1
825,2
827,1
828,3
831,3
832,1
833,1
838,1
839,3
842,1
843,3
849,1
850,1
853,1
855,0
858,1
859,1
860,1
861,1
862,1
863,1
866,1
871,2
873,4
874,1
880,2
881,4
882,4
884,4
892,3
895,1
896,4
898,4
902,1
904,4
905,1
906,4
911,4
914,4
916,4
919,4
920,1
921,4
924,0
926,1
931,3
932,1
934,1
939,3
941,3
944,4
946,4
947,3
953,4
954,4
955,4
960,1
964,4
969,3
977,1
982,4
986,4
988,3
991,4
992,1
993,3
995,2
998,3
999,3
1000,3
1007,0
1008,1
1011,1
1015,4
1018,3
1019,3
1023,3
1028,0
1029,1
1030,1
1039,2
1043,1
1044,4
1048,2
1049,4
1050,1
1052,1
1055,3
1056,1
1057,2
1059,1
1061,3
1062,4
1065,4
1066,1
1068,3
1071,3
1072,1
1080,1
1081,1
1082,4
1085,1
1086,1
1087,1
1088,1
1090,2
1091,1
1093,1
1096,1
1100,1
1102,4
1106,1
1107,1
1108,1
1110,4
1115,4
1117,1
1122,0
1123,3
1128,3
1129,4
1130,4
1131,3
1134,3
1135,4
1136,4
1138,3
1140,3
1149,1
1150,0
1151,4
1152,1
1154,4
1158,3
1162,3
1163,4
1164,3
1165,4
1168,3
1169,1
1172,1
1176,4
1177,4
1178,1
1181,2
1183,1
1186,3
1188,1
1191,1
1192,1
1193,3
1195,3
1197,3
1199,4
1200,3
1201,4
1206,4
1207,4
1212,1
1215,3
1222,1
1224,4
1228,1
1230,3
1235,1
1236,1
1237,2
1238,1
1244,1
1245,1
1248,0
1250,3
1252,2
1253,4
1256,1
1259,4
1260,4
1261,1
1265,4
1268,4
1272,4
1273,4
1280,1
1283,3
1285,4
1287,4
1289,4
1290,4
1294,1
1295,4
1297,3
1299,4
1303,3
1304,2
1306,3
1307,1
1308,1
1312,2
1315,2
1316,1
1317,4
1318,3
1319,2
1322,1
1323,3
1325,1
1326,3
1327,1
1332,4
1334,3
1336,3
1338,1
1339,1
1344,4
1346,4
1347,1
1348,1
1349,2
1350,3
1357,3
1361,3
1363,3
1368,1
1370,4
1371,2
1376,4
1382,1
1384,1
1385,3
1387,0
1388,4
1394,0
1398,4
1401,3
1402,2
1406,0
1409,2
1410,2
1411,1
1413,1
1417,1
1418,3
1420,3
1421,2
1427,3
1429,3
1431,3
1434,1
1435,1
1437,2
1438,1
1442,1
1447,1
1448,3
1451,4
1453,1
1457,1
1460,1
1463,1
1466,1
1470,4
1474,4
1477,4
1479,0
1480,1
1484,1
1485,4
1489,3
1490,1
1491,4
1495,3
1498,0
1504,1
1506,0
1513,1
1514,3
1519,2
1521,1
1523,1
1524,4
1526,1
1531,1
1535,1
1537,3
1538,3
1539,3
1541,1
1544,1
1550,1
1553,3
1554,4
1559,0
1560,3
1564,3
1565,1
1566,1
1568,1
1569,1
1571,1
1572,3
1573,1
1574,1
1576,2
1577,0
1580,1
1581,3
1582,3
1585,4
1592,3
1594,3
1595,3
1607,4
1608,1
1612,0
1614,0
1619,1
1621,1
1623,1
1625,3
1627,4
1636,0
1639,1
1641,4
1643,4
1647,1
1652,1
1653,4
1655,1
