id,grnmoney
2089,No
2090,No
2093,No
2094,No
2095,No
2097,No
2099,No
2100,No
2103,No
2104,No
2106,No
2108,No
2110,No
2112,No
2118,No
2119,Yes
2124,No
2125,No
2135,Yes
2140,No
2142,No
2144,No
2147,No
2151,Yes
2156,No
2157,No
2158,No
2163,No
2165,No
2170,No
2172,No
2176,Yes
2177,No
2178,No
2179,No
2182,No
2183,No
2184,No
2185,No
2189,No
2190,No
2194,No
2195,Yes
2197,No
2200,No
2204,Yes
2207,No
2209,No
2212,No
2215,No
2219,No
2221,No
2223,Yes
2229,No
2232,Yes
2233,No
2234,No
2237,No
2241,No
2246,No
2259,Yes
2262,No
2264,Yes
2266,No
2267,No
2268,No
2269,No
2270,No
2273,No
2278,No
2279,No
2290,Yes
2292,No
2295,No
2304,No
2305,No
2306,No
2309,No
2312,No
2314,No
2317,No
2319,No
2320,No
2321,No
2327,No
2328,Yes
2330,No
2335,No
2336,No
2342,No
2343,No
2350,No
2351,No
2352,No
2353,No
2355,No
2357,No
2364,No
2367,Yes
2369,Yes
2370,No
2377,No
2378,No
2380,No
2381,No
2382,No
2383,No
2386,No
2391,No
2394,No
2396,No
2397,No
2398,No
2399,No
2402,Yes
2406,No
2407,No
2408,No
2412,No
2417,Yes
2421,No
2425,Yes
2426,Yes
2433,No
2434,No
2435,Yes
2436,No
2437,Yes
2441,Yes
2448,No
2454,Yes
2460,No
2462,No
2463,No
2466,No
2467,No
2468,No
2470,No
2474,No
2478,Yes
2480,No
2481,Yes
2489,No
2494,No
2495,No
2498,Yes
2501,No
2502,No
2503,Yes
2504,Yes
2515,No
2518,No
2520,No
2521,No
2524,No
2526,Yes
2528,No
2533,No
2536,Yes
2538,No
2541,No
2543,No
2544,No
2556,No
2557,No
2558,No
2560,No
2561,No
2562,No
2566,No
2567,No
2569,No
2571,No
2575,Yes
2577,Yes
2579,No
2581,No
2585,No
2588,Yes
2594,Yes
2597,Yes
2598,No
2599,Yes
2608,Yes
2610,No
2614,Yes
2617,Yes
2619,No
2620,No
2623,No
2627,No
2629,No
2630,Yes
2634,No
2635,No
2639,Yes
2643,Yes
2646,No
2651,No
2653,No
2655,No
2658,No
2661,No
2664,Yes
2665,No
2668,No
2669,No
2674,Yes
2675,No
2676,No
2677,Yes
2679,No
2684,No
2686,No
2687,No
2688,No
2692,No
2697,No
2701,No
2702,No
2705,No
2709,Yes
2712,No
2716,No
2717,No
2719,Yes
2726,Yes
2729,No
2733,No
2736,No
2737,No
2739,No
2740,No
2741,Yes
2742,Yes
2744,No
2746,No
2747,No
2749,Yes
2752,No
2753,Yes
2756,No
2757,Yes
2758,No
2759,No
2761,Yes
2766,No
2769,No
2771,No
2773,No
2774,No
2775,No
2781,No
2782,No
2783,No
2785,No
2787,Yes
2791,No
2793,Yes
2794,No
2799,Yes
2801,No
2804,No
2806,No
2807,Yes
2810,Yes
2811,No
2814,No
2820,Yes
2822,Yes
2823,No
2824,No
2827,Yes
2829,No
2835,No
2836,No
2837,No
2839,No
2843,Yes
2844,No
2847,Yes
2849,Yes
2853,Yes
2859,No
2860,No
2862,Yes
2864,No
2867,Yes
2869,Yes
2870,No
2872,Yes
2873,No
2874,No
2875,No
2876,No
2877,No
2880,Yes
2884,Yes
2886,No
2889,No
2892,Yes
2897,No
2901,No
2902,Yes
2903,No
2908,No
2910,No
2913,No
2918,No
2920,Yes
2925,Yes
2927,No
2929,No
2934,No
2941,No
2942,Yes
2944,Yes
2945,No
2949,No
2955,No
2959,No
2966,No
2967,No
2970,No
2972,No
2973,No
2978,Yes
2979,No
2984,Yes
2985,No
2986,Yes
2987,No
2988,No
2989,No
2992,No
2994,Yes
2996,No
2998,No
3001,Yes
3002,No
3005,No
3009,No
3012,No
3013,No
3019,No
3020,Yes
3021,No
3023,No
3026,No
3027,No
3028,Yes
3029,No
3031,No
3033,Yes
3034,No
3035,No
3036,No
3037,Yes
3043,No
3047,No
3050,Yes
3055,No
3057,No
3063,No
3065,No
3067,No
3070,Yes
3072,No
3073,No
3075,No
3078,No
3083,No
3084,No
3088,No
3090,No
3091,No
3092,No
3094,No
3095,No
3097,No
3100,No
3104,No
3108,No
3114,No
3116,No
3117,No
3119,Yes
3121,No
3122,No
3125,No
3128,No
3130,No
3131,No
3132,Yes
3140,No
3141,No
3145,No
3147,No
3149,No
3151,No
3153,Yes
3154,Yes
3155,Yes
3159,No
3161,No
3163,No
3164,Yes
3166,No
3173,Yes
3174,No
3180,No
3182,No
3192,No
3195,No
3197,No
3200,No
3201,No
3202,No
3203,No
3204,Yes
3206,No
3207,No
3213,Yes
3214,No
3215,No
3216,No
3217,No
3219,Yes
3221,No
3222,No
3223,No
3224,No
3225,Yes
3228,No
3229,No
3235,No
3237,Yes
3238,No
3242,No
3244,No
3246,No
3255,No
3256,Yes
3257,No
3260,No
3262,No
3265,No
3266,No
3267,Yes
3269,No
3271,Yes
3272,No
3274,No
3275,No
3281,No
3284,No
3286,Yes
3287,Yes
3289,No
3299,No
3308,No
3314,No
3315,No
3318,Yes
3321,No
3322,Yes
3325,No
3326,No
3328,Yes
3333,Yes
3335,No
3338,No
3339,No
3344,No
3348,No
3349,Yes
3351,No
3357,Yes
3360,No
3361,Yes
3363,No
3365,Yes
3368,Yes
3371,No
3372,No
3373,Yes
3378,Yes
3380,No
3382,No
3383,No
3385,No
3392,No
3393,No
3395,No
3398,No
3401,Yes
3402,No
3408,No
3410,No
3412,No
3413,No
3414,No
3417,No
3421,Yes
3423,No
3424,No
3425,Yes
3426,No
3435,No
3438,No
3440,No
3446,No
3447,Yes
3448,No
3449,No
3455,No
3456,No
3458,Yes
3465,Yes
3466,No
3477,No
3481,No
3483,Yes
3487,Yes
3488,No
3491,No
3492,No
3493,Yes
3494,No
3495,Yes
3497,No
3502,No
3503,No
3505,No
3508,No
3511,Yes
3512,No
3515,No
3516,No
3520,Yes
3521,No
3522,No
3525,No
3526,Yes
3532,Yes
3533,No
3535,No
3537,Yes
3544,Yes
3545,No
3549,No
3551,Yes
3552,No
3553,No
3554,No
3559,Yes
3560,No
3561,No
3563,No
3566,Yes
3571,No
3572,No
3578,No
3579,No
3580,No
3581,No
3583,No
3591,No
3596,No
3600,No
3602,No
3603,Yes
3604,No
3608,No
3610,No
3612,No
3613,No
3615,Yes
3616,No
3618,Yes
3619,No
3623,No
3626,No
3630,No
3632,No
3635,Yes
3639,Yes
3641,No
3643,Yes
3646,No
3649,No
3650,No
3651,No
3652,No
3653,No
3657,No
3658,No
3659,Yes
3664,No
3667,No
3668,No
3674,Yes
3677,No
3678,Yes
3679,Yes
3680,No
3681,No
3686,No
3688,No
3691,Yes
3692,No
3694,Yes
3696,No
3698,No
3700,Yes
3702,No
3703,No
3708,Yes
3709,No
3712,No
3721,No
3726,No
3727,No
3728,No
3729,No
3731,Yes
3735,No
3738,No
3740,Yes
3741,No
3747,No
3755,No
3756,No
3757,No
3760,Yes
3761,No
3765,No
3766,No
3768,Yes
3769,No
3771,Yes
3777,Yes
3779,No
3783,No
3788,Yes
3790,No
3793,No
3795,No
3798,No
3801,No
3806,Yes
3809,No
3810,Yes
3812,No
3813,No
3814,No
3819,No
3821,Yes
3822,No
3824,No
3825,No
3829,Yes
3843,Yes
3844,No
3846,No
3848,No
3849,No
3850,No
3852,No
3856,Yes
3859,No
3864,No
3871,No
3874,No
3875,No
3876,No
3881,No
3892,No
3895,No
3896,No
3902,No
3908,No
3912,Yes
3915,Yes
3916,No
3918,No
3920,No
3921,Yes
3924,No
3925,Yes
3930,No
3932,Yes
3934,No
3936,No
3937,No
3943,No
3945,No
3947,Yes
3950,No
3952,No
3953,Yes
3955,No
3956,Yes
3972,No
3977,No
3978,Yes
3981,No
3982,No
3985,No
3988,No
3992,Yes
3996,Yes
3997,Yes
4001,No
4003,No
4007,Yes
4013,No
4020,Yes
4021,No
4026,Yes
4031,No
4038,No
4039,No
4047,Yes
4049,No
4052,Yes
4053,No
4055,No
4056,No
4058,No
4060,Yes
4061,No
4062,No
4064,No
4069,No
4072,No
4078,No
4082,No
4083,No
4090,No
4093,No
4095,Yes
4097,No
4098,No
4101,Yes
4108,Yes
4109,Yes
4113,No
4114,No
4116,No
4117,No
4118,No
4122,No
4128,No
4130,No
4135,No
4137,No
4139,No
4143,No
4145,No
4147,No
4148,Yes
4150,No
4154,Yes
4157,No
4159,No
4160,No
4164,No
4166,Yes
4169,Yes
4172,No
4173,No
4176,No
4179,Yes
4184,Yes
4185,Yes
4187,No
4190,Yes
4191,No
4193,No
4194,No
4195,No
4201,No
4208,No
4211,No
4215,No
4219,No
4225,No
4228,Yes
4235,No
4236,No
4237,No
4239,Yes
4240,No
4242,No
4244,Yes
4247,No
4249,Yes
4250,No
4252,No
4257,No
4266,Yes
4267,No
4268,No
4269,Yes
4270,Yes
4271,No
4272,No
4277,No
4280,No
4283,No
4287,No
4288,No
4292,No
4293,No
4295,Yes
4297,No
4301,No
4303,No
4304,Yes
4308,Yes
4309,No
4311,Yes
4313,Yes
4314,No
4315,No
4316,No
4319,No
4321,Yes
4323,No
4324,Yes
4326,No
4328,No
4333,No
4334,No
4338,No
4341,No
4345,No
4346,No
4347,No
4348,No
4351,No
4352,No
4353,No
4354,No
4355,No
4360,No
4367,No
4368,No
4369,No
4370,No
4373,No
4378,Yes
4382,No
4389,No
4390,No
4393,No
4395,Yes
4396,No
4399,No
4402,No
4407,Yes
4411,Yes
4414,No
4416,No
4419,No
4428,No
4429,No
4432,No
4437,No
4439,No
4441,No
4442,No
4443,No
4445,Yes
4450,No
4455,No
4456,No
4457,No
4458,No
4459,No
4460,No
4462,No
4463,Yes
4467,No
4468,No
4470,No
